batch_divisor,nb_hidden,hidden_size,number_of_parameters,lr,seed,epochs_trained,total_power_used,average_power_usage,samples_interval,training_duration,train_loss_reached,train_accuracy_reached,test_loss_reached,test_accuracy_reached
1.0,1.0,32.0,26506,0.001,3460.0,10.0,0.00041759259259259267,16.69636538454498,0.4998747728261388,89.97935724258423,2.1438377698262534,0.379538893699646,0.0,0.0
1.0,1.0,32.0,26506,0.01,3460.0,10.0,0.00042300925925925926,16.256952373650666,0.5011153650813457,93.87602162361145,1.7571299076080322,0.5225055615107218,0.0,0.0
1.0,1.0,32.0,26506,0.1,3460.0,10.0,0.0005161111111111112,19.730984277083568,0.5005182967838541,94.26467951138814,2.146313428878784,0.21993333597977957,0.0,0.0
1.0,1.0,64.0,55050,0.001,3460.0,10.0,0.00043324074074074076,16.894370203095747,0.5024306057898497,92.78109677632649,2.0526161988576255,0.4984111189842224,0.0,0.0
1.0,1.0,64.0,55050,0.01,3460.0,10.0,0.0004749074074074074,18.31953023716922,0.5009396747976239,93.50815415382385,1.6989813645680745,0.5842222174008688,0.0,0.0
1.0,1.0,64.0,55050,0.1,3460.0,10.0,0.0005063425925925926,19.460262828535672,0.5016140023808514,93.96928000450134,2.1960063378016152,0.1688388908902804,0.0,0.0
1.0,1.0,128.0,118282,0.001,3460.0,10.0,0.0004336574074074074,16.89759826539565,0.5006260373207617,92.44444274902344,1.9450796445210774,0.6234833200772604,0.0,0.0
1.0,1.0,128.0,118282,0.01,3460.0,10.0,0.0005068518518518519,19.271704840844492,0.5015379099503686,94.95711342493694,1.6877150535583496,0.5888611276944479,0.0,0.0
1.0,1.0,128.0,118282,0.1,3460.0,10.0,0.0004306018518518519,16.75837829414267,0.5007608911844651,92.6397446791331,2.2724764347076416,0.12431666751702626,0.0,0.0
1.0,3.0,32.0,28618,0.001,3460.0,10.0,0.0004398148148148148,16.905080289963276,0.5011450388486851,93.87990856170654,2.2754852771759033,0.22021110852559408,0.0,0.0
1.0,3.0,32.0,28618,0.01,3460.0,10.0,0.00040634259259259264,15.810906378361622,0.5020219409044496,92.87373113632202,1.818695346514384,0.3993000090122223,0.0,0.0
1.0,3.0,32.0,28618,0.1,3460.0,10.0,0.0005171759259259259,19.77176441892754,0.5010990591817531,94.37377762794495,2.420748472213745,0.10000000149011612,0.0,0.0
1.0,3.0,64.0,63370,0.001,3460.0,10.0,0.00044032407407407415,17.044802867383513,0.5013151514914728,93.24461817741394,2.2157729466756186,0.3673333326975505,0.0,0.0
1.0,3.0,64.0,63370,0.01,3460.0,10.0,0.0005079166666666666,19.41124724513935,0.5022140918030488,94.5818776289622,1.792275349299113,0.384250005086263,0.0,0.0
1.0,3.0,64.0,63370,0.1,3460.0,10.0,0.00042212962962962967,16.518115942028984,0.5019360491331073,92.35623304049174,2.4140421549479165,0.10000000149011612,0.0,0.0
1.0,3.0,128.0,151306,0.001,3460.0,10.0,0.00044569444444444447,17.633899916795436,0.5022414309262729,91.40318886439006,2.11275585492452,0.41201111674308777,0.0,0.0
1.0,3.0,128.0,151306,0.01,3460.0,10.0,0.0005071296296296296,19.31249703701597,0.5033904176588141,95.14048798878987,1.7623454332351685,0.3969111144542694,0.0,0.0
1.0,3.0,128.0,151306,0.1,3460.0,10.0,0.0004390740740740741,17.027181191887074,0.502605990290257,93.31632248560588,2.4047362009684243,0.10000000149011612,0.0,0.0
1.0,5.0,32.0,30730,0.001,3460.0,10.0,0.00043606481481481485,16.820389481528405,0.5007764254662171,93.47802050908406,2.2969699700673423,0.1631388912598292,0.0,0.0
1.0,5.0,32.0,30730,0.01,3460.0,10.0,0.0004369444444444444,16.903283770312758,0.5014249958428111,93.26381476720174,1.959830602010091,0.23068888982137045,0.0,0.0
1.0,5.0,32.0,30730,0.1,3460.0,10.0,0.0005207407407407408,19.76760205730537,0.5004200500782686,94.91297817230225,2.3994462490081787,0.09250555684169133,0.0,0.0
1.0,5.0,64.0,71690,0.001,3460.0,10.0,0.00045351851851851846,17.368265346759973,0.502724317809302,94.51151029268901,2.2877583503723145,0.222988893588384,0.0,0.0
1.0,5.0,64.0,71690,0.01,3460.0,10.0,0.0005043981481481481,19.177398282941397,0.5025659107859343,95.15246248245239,1.945078174273173,0.26180000106493634,0.0,0.0
1.0,5.0,64.0,71690,0.1,3460.0,10.0,0.0004309259259259259,16.59180035650624,0.5003791131650276,93.57089416186015,2.4198137124379477,0.10000000149011612,0.0,0.0
1.0,5.0,128.0,184330,0.001,3460.0,10.0,0.0004573611111111111,17.54696356657141,0.5031757359435937,94.42822035153706,2.243846813837687,0.37239445249239606,0.0,0.0
1.0,5.0,128.0,184330,0.01,3460.0,10.0,0.000521712962962963,19.839380365808136,0.501331594525188,94.91901715596516,1.8683334191640217,0.3309611181418101,0.0,0.0
1.0,5.0,128.0,184330,0.1,3460.0,10.0,0.00044638888888888896,17.341325196163908,0.5024141020499077,93.11371159553528,2.4154481093088784,0.10000000149011612,0.0,0.0
10.0,1.0,32.0,26506,0.001,3460.0,10.0,0.0003942592592592593,15.760391058170134,0.5002597184488887,90.04480242729187,1.6602398951848347,0.6497166574001313,0.0,0.0
10.0,1.0,32.0,26506,0.01,3460.0,10.0,0.00040282407407407405,15.648823016564952,0.4999808159999742,92.66327285766602,1.5938072005907695,0.7430777688821157,0.0,0.0
10.0,1.0,32.0,26506,0.1,3460.0,10.0,0.00047245370370370366,18.125886524822693,0.5006978927440068,93.96419477462769,1.9912521759668989,0.36046110490957894,0.0,0.0
